complaint_text,predicted_hardness,hardness_label,time_of_day,usage_context,frequency,region,reported_ph
The water feels quite smooth when I wash my hands.,15.39,Soft,Evening,General use,Daily,Bengaluru,8.04
Water feels a bit harsh on the skin sometimes.,64.66,Moderate,Afternoon,General use,Weekly,Vellore,8.5
The water feels quite smooth when I wash my hands.,22.56,Soft,Evening,Laundry,Daily,Mumbai,7.67
Hair feels dry and rough after bathing.,158.68,Hard,Night,Laundry,Weekly,Bengaluru,7.89
My clothes feel softer after washing.,38.1,Soft,Morning,General use,Occasionally,Bengaluru,7.49
"No scaling on taps recently, water seems clean.",24.27,Soft,Evening,Bath,Daily,Chennai,7.72
The water feels quite smooth when I wash my hands.,4.62,Soft,Morning,Kitchen,Weekly,Vellore,6.54
Soap lathers easily these days.,33.72,Soft,Morning,Bath,Occasionally,Mumbai,7.48
Water feels a bit harsh on the skin sometimes.,76.74,Moderate,Morning,General use,Daily,Chennai,7.59
My clothes feel softer after washing.,56.71,Soft,Morning,General use,Weekly,Chennai,6.63
Slight scaling seen on my kettle after a few uses.,114.49,Moderate,Evening,Bath,Weekly,Chennai,7.87
The geyser is scaling up quickly again.,159.32,Hard,Evening,Laundry,Occasionally,Bengaluru,6.63
Washing machine filters clog frequently.,250.24,Very Hard,Evening,Kitchen,Daily,Mumbai,6.88
The water feels quite smooth when I wash my hands.,43.45,Soft,Morning,Bath,Weekly,Bengaluru,6.65
Hair feels dry and rough after bathing.,142.27,Hard,Night,Laundry,Weekly,Vellore,8.11
Washing machine filters clog frequently.,214.94,Very Hard,Evening,General use,Occasionally,Mumbai,7.68
Soap just refuses to lather at all these days.,193.17,Very Hard,Morning,General use,Weekly,Bengaluru,7.69
Soap lathers easily these days.,38.23,Soft,Evening,Kitchen,Occasionally,Mumbai,7.0
My clothes feel stiff even after washing with detergent.,171.48,Hard,Morning,Laundry,Weekly,Vellore,7.75
Washing machine filters clog frequently.,239.86,Very Hard,Night,Kitchen,Weekly,Vellore,6.8
The water feels quite smooth when I wash my hands.,46.24,Soft,Night,Laundry,Weekly,Vellore,8.04
There’s a strong salty taste in the water.,229.77,Very Hard,Evening,General use,Daily,Vellore,6.85
Heavy scaling on taps and fixtures.,189.89,Very Hard,Evening,Laundry,Daily,Chennai,7.99
Soap just refuses to lather at all these days.,230.1,Very Hard,Afternoon,Bath,Occasionally,Chennai,6.74
There’s a strong salty taste in the water.,215.46,Very Hard,Afternoon,Laundry,Occasionally,Chennai,7.05
Soap lathers easily these days.,31.22,Soft,Evening,Laundry,Daily,Vellore,8.28
My clothes feel softer after washing.,22.38,Soft,Evening,General use,Weekly,Bengaluru,7.03
The water feels quite smooth when I wash my hands.,42.6,Soft,Afternoon,General use,Weekly,Mumbai,8.23
The water feels quite smooth when I wash my hands.,17.37,Soft,Morning,Bath,Daily,Bengaluru,6.97
The water feels quite smooth when I wash my hands.,24.32,Soft,Night,General use,Occasionally,Bengaluru,7.25
The water leaves white stains on utensils.,149.55,Hard,Evening,General use,Occasionally,Mumbai,6.68
Washing machine filters clog frequently.,211.54,Very Hard,Evening,Laundry,Occasionally,Bengaluru,7.02
Slight scaling seen on my kettle after a few uses.,87.34,Moderate,Afternoon,Laundry,Daily,Vellore,7.99
Water feels a bit harsh on the skin sometimes.,68.09,Moderate,Morning,General use,Weekly,Chennai,7.91
The geyser is scaling up quickly again.,157.86,Hard,Night,Laundry,Occasionally,Mumbai,8.07
Washing machine filters clog frequently.,277.71,Very Hard,Night,Bath,Weekly,Mumbai,8.31
Water feels a bit harsh on the skin sometimes.,72.95,Moderate,Morning,Kitchen,Daily,Vellore,7.04
"No scaling on taps recently, water seems clean.",15.31,Soft,Night,General use,Occasionally,Vellore,6.81
Washing machine filters clog frequently.,287.17,Very Hard,Morning,General use,Occasionally,Chennai,8.47
The water leaves white stains on utensils.,179.83,Hard,Night,General use,Occasionally,Mumbai,8.05
Soap lathers easily these days.,6.74,Soft,Evening,Laundry,Weekly,Mumbai,7.38
Soap just refuses to lather at all these days.,294.46,Very Hard,Afternoon,General use,Daily,Mumbai,7.8
There’s a strong salty taste in the water.,292.61,Very Hard,Morning,Laundry,Daily,Chennai,6.59
Soap just refuses to lather at all these days.,297.96,Very Hard,Night,Kitchen,Occasionally,Vellore,7.02
"The soap doesn’t lather much, but it’s manageable.",115.9,Moderate,Morning,Kitchen,Weekly,Vellore,7.76
Heavy scaling on taps and fixtures.,260.3,Very Hard,Afternoon,General use,Weekly,Chennai,7.28
"No scaling on taps recently, water seems clean.",54.35,Soft,Morning,Kitchen,Occasionally,Bengaluru,7.02
My clothes feel softer after washing.,58.58,Soft,Evening,Laundry,Daily,Vellore,6.64
Soap just refuses to lather at all these days.,183.7,Very Hard,Night,Bath,Occasionally,Bengaluru,6.59
Hair feels dry and rough after bathing.,139.31,Hard,Afternoon,General use,Daily,Bengaluru,6.5
"No scaling on taps recently, water seems clean.",25.47,Soft,Afternoon,General use,Occasionally,Vellore,7.6
My clothes feel stiff even after washing with detergent.,176.28,Hard,Night,Laundry,Daily,Chennai,6.62
"The soap doesn’t lather much, but it’s manageable.",79.7,Moderate,Night,Bath,Weekly,Mumbai,6.61
Heavy scaling on taps and fixtures.,235.33,Very Hard,Morning,Laundry,Occasionally,Bengaluru,7.2
Soap lathers easily these days.,31.01,Soft,Evening,Bath,Weekly,Mumbai,7.91
I notice mild deposits on my bathroom tiles.,69.1,Moderate,Afternoon,Laundry,Daily,Mumbai,6.63
There’s a strong salty taste in the water.,283.03,Very Hard,Morning,Laundry,Daily,Mumbai,7.73
Heavy scaling on taps and fixtures.,257.4,Very Hard,Evening,Kitchen,Weekly,Mumbai,6.76
Soap lathers easily these days.,36.46,Soft,Night,Laundry,Occasionally,Bengaluru,7.3
Slight scaling seen on my kettle after a few uses.,116.5,Moderate,Night,Laundry,Occasionally,Bengaluru,8.08
I notice mild deposits on my bathroom tiles.,86.47,Moderate,Night,Laundry,Weekly,Bengaluru,8.33
Water feels a bit harsh on the skin sometimes.,106.71,Moderate,Morning,Laundry,Daily,Mumbai,6.83
Slight scaling seen on my kettle after a few uses.,66.32,Moderate,Morning,Kitchen,Weekly,Mumbai,7.46
Washing machine filters clog frequently.,181.4,Very Hard,Evening,Bath,Daily,Chennai,7.95
My clothes feel softer after washing.,54.26,Soft,Morning,Bath,Daily,Mumbai,6.79
Slight scaling seen on my kettle after a few uses.,68.0,Moderate,Night,Laundry,Daily,Chennai,6.92
Hair feels dry and rough after bathing.,163.87,Hard,Afternoon,Bath,Occasionally,Mumbai,8.14
Heavy scaling on taps and fixtures.,243.91,Very Hard,Night,Bath,Daily,Mumbai,8.04
The water feels quite smooth when I wash my hands.,34.55,Soft,Afternoon,Laundry,Occasionally,Bengaluru,8.36
Soap lathers easily these days.,25.18,Soft,Night,Kitchen,Daily,Mumbai,8.0
Water feels a bit harsh on the skin sometimes.,117.31,Moderate,Morning,General use,Weekly,Mumbai,6.99
"The soap doesn’t lather much, but it’s manageable.",91.67,Moderate,Night,Kitchen,Daily,Chennai,7.5
Soap just refuses to lather at all these days.,203.87,Very Hard,Morning,Laundry,Occasionally,Mumbai,7.92
Soap lathers easily these days.,58.16,Soft,Morning,Laundry,Weekly,Bengaluru,6.78
Soap lathers easily these days.,52.87,Soft,Night,Bath,Weekly,Bengaluru,7.02
My clothes feel softer after washing.,13.71,Soft,Morning,Bath,Occasionally,Bengaluru,7.96
Washing machine filters clog frequently.,292.27,Very Hard,Night,General use,Weekly,Mumbai,8.22
My clothes feel softer after washing.,51.91,Soft,Evening,Kitchen,Daily,Bengaluru,8.08
Washing machine filters clog frequently.,213.91,Very Hard,Night,General use,Weekly,Vellore,6.83
The water leaves white stains on utensils.,141.94,Hard,Morning,Laundry,Daily,Bengaluru,7.66
There’s a strong salty taste in the water.,268.32,Very Hard,Morning,Kitchen,Daily,Chennai,7.2
Water feels a bit harsh on the skin sometimes.,104.04,Moderate,Night,General use,Weekly,Vellore,7.42
The geyser is scaling up quickly again.,155.24,Hard,Afternoon,Kitchen,Occasionally,Vellore,8.38
"The soap doesn’t lather much, but it’s manageable.",90.91,Moderate,Morning,General use,Occasionally,Chennai,8.28
Heavy scaling on taps and fixtures.,277.09,Very Hard,Night,Bath,Weekly,Mumbai,8.18
Water feels a bit harsh on the skin sometimes.,68.01,Moderate,Afternoon,Bath,Weekly,Vellore,8.39
I notice mild deposits on my bathroom tiles.,80.26,Moderate,Night,Laundry,Occasionally,Mumbai,7.27
"The soap doesn’t lather much, but it’s manageable.",72.07,Moderate,Night,General use,Occasionally,Vellore,6.7
I notice mild deposits on my bathroom tiles.,89.31,Moderate,Morning,Bath,Daily,Mumbai,8.05
Water feels a bit harsh on the skin sometimes.,113.55,Moderate,Evening,General use,Weekly,Chennai,7.34
My clothes feel softer after washing.,9.83,Soft,Morning,General use,Daily,Bengaluru,8.3
The water feels quite smooth when I wash my hands.,39.95,Soft,Afternoon,Bath,Daily,Bengaluru,8.37
"No scaling on taps recently, water seems clean.",42.26,Soft,Afternoon,Kitchen,Daily,Vellore,8.49
Heavy scaling on taps and fixtures.,248.35,Very Hard,Night,Kitchen,Occasionally,Bengaluru,7.55
There’s a strong salty taste in the water.,263.72,Very Hard,Afternoon,Bath,Weekly,Chennai,6.81
"No scaling on taps recently, water seems clean.",22.0,Soft,Evening,Kitchen,Daily,Chennai,7.39
The geyser is scaling up quickly again.,168.86,Hard,Afternoon,General use,Weekly,Mumbai,7.96
Soap just refuses to lather at all these days.,212.83,Very Hard,Afternoon,Laundry,Weekly,Chennai,8.41
Hair feels dry and rough after bathing.,146.57,Hard,Night,Kitchen,Occasionally,Bengaluru,6.96
The water feels quite smooth when I wash my hands.,19.0,Soft,Evening,General use,Daily,Mumbai,7.46
Slight scaling seen on my kettle after a few uses.,92.33,Moderate,Night,Laundry,Daily,Mumbai,7.97
Hair feels dry and rough after bathing.,132.11,Hard,Afternoon,Kitchen,Weekly,Vellore,8.32
The water feels quite smooth when I wash my hands.,5.45,Soft,Morning,Kitchen,Weekly,Mumbai,7.41
My clothes feel softer after washing.,51.66,Soft,Night,Laundry,Weekly,Bengaluru,8.04
There’s a strong salty taste in the water.,252.86,Very Hard,Night,Kitchen,Weekly,Chennai,7.8
"No scaling on taps recently, water seems clean.",4.0,Soft,Evening,Kitchen,Occasionally,Mumbai,6.57
The geyser is scaling up quickly again.,160.52,Hard,Morning,General use,Occasionally,Vellore,7.85
Slight scaling seen on my kettle after a few uses.,91.46,Moderate,Evening,Bath,Occasionally,Vellore,7.89
Soap just refuses to lather at all these days.,267.02,Very Hard,Evening,Laundry,Weekly,Bengaluru,7.8
Water feels a bit harsh on the skin sometimes.,111.33,Moderate,Evening,General use,Occasionally,Vellore,8.2
My clothes feel stiff even after washing with detergent.,160.26,Hard,Night,Laundry,Daily,Vellore,7.03
Soap just refuses to lather at all these days.,191.08,Very Hard,Afternoon,Kitchen,Occasionally,Chennai,7.52
I notice mild deposits on my bathroom tiles.,86.56,Moderate,Evening,Bath,Weekly,Mumbai,8.28
Slight scaling seen on my kettle after a few uses.,81.07,Moderate,Evening,General use,Occasionally,Mumbai,6.78
Water feels a bit harsh on the skin sometimes.,119.4,Moderate,Night,General use,Daily,Vellore,7.24
I notice mild deposits on my bathroom tiles.,115.44,Moderate,Evening,General use,Occasionally,Vellore,7.29
